"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"6.21"	"Clostridia"	"CK_R10_3"	0.018676665	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.22"	"Bryobacterales"	"CK_R10_3"	0.031104631	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.23"	"Vicinamibacterales"	"CK_R10_3"	0.0358953	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.24"	"Bacillales"	"CK_R10_3"	0.01746164	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.25"	"Gaiellales"	"CK_R10_3"	0.040512393	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.26"	"Rhizobiales"	"CK_R10_3"	0.146150108	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.27"	"Burkholderiales"	"CK_R10_3"	0.234256752	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.28"	"Pyrinomonadales"	"CK_R10_3"	0.231687843	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"7"	"<0.5%"	"CK_R100_1"	0.004674353	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.1"	"Chthoniobacterales"	"CK_R100_1"	0.002804612	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.2"	"Dongiales"	"CK_R100_1"	0	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.3"	"Steroidobacterales"	"CK_R100_1"	0	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.4"	"Paenibacillales"	"CK_R100_1"	0	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.5"	"Solirubrobacterales"	"CK_R100_1"	0.050171393	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.6"	"Xanthomonadales"	"CK_R100_1"	0.002804612	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.7"	"Propionibacteriales"	"CK_R100_1"	0.000623247	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.8"	"Pseudomonadales"	"CK_R100_1"	0	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.9"	"Chloroflexales"	"CK_R100_1"	0.001558118	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.10"	"Frankiales"	"CK_R100_1"	0.197569336	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.11"	"Polyangiales"	"CK_R100_1"	0.006544095	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.12"	"Corynebacteriales"	"CK_R100_1"	0.003739483	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
"7.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R100_1"	0	"CK_R100_1"	"X100"	"Inbred_line"	"CK"	"Root"	1	"P11"
