SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
D_R110_1	X110	Hybrid	D	Root	1	P01
D_R110_2	X110	Hybrid	D	Root	2	P01
D_R110_3	X110	Hybrid	D	Root	3	P01
D_R111_1	X111	Hybrid	D	Root	1	P01
D_R111_2	X111	Hybrid	D	Root	2	P01
D_R111_3	X111	Hybrid	D	Root	3	P01
D_R112_1	X112	Hybrid	D	Root	1	P15
D_R112_2	X112	Hybrid	D	Root	2	P15
D_R112_3	X112	Hybrid	D	Root	3	P15
D_R113_1	X113	Hybrid	D	Root	1	P10
D_R113_2	X113	Hybrid	D	Root	2	P10
D_R113_3	X113	Hybrid	D	Root	3	P10
D_R114_1	X114	Hybrid	D	Root	1	P04
D_R114_2	X114	Hybrid	D	Root	2	P04
D_R114_3	X114	Hybrid	D	Root	3	P04
D_R115_1	X115	Hybrid	D	Root	1	P01
D_R115_2	X115	Hybrid	D	Root	2	P01
D_R115_3	X115	Hybrid	D	Root	3	P01
D_R116_1	X116	Hybrid	D	Root	1	P15
D_R116_2	X116	Hybrid	D	Root	2	P15
D_R116_3	X116	Hybrid	D	Root	3	P15
D_R117_1	X117	Hybrid	D	Root	1	P04
D_R117_2	X117	Hybrid	D	Root	2	P04
D_R117_3	X117	Hybrid	D	Root	3	P04
D_R118_1	X118	Hybrid	D	Root	1	P15
D_R118_2	X118	Hybrid	D	Root	2	P15
D_R118_3	X118	Hybrid	D	Root	3	P15
D_R119_1	X119	Teosinte	D	Root	1	P15
D_R119_2	X119	Teosinte	D	Root	2	P15
D_R119_3	X119	Teosinte	D	Root	3	P15
D_R12_1	X12	Landrace	D	Root	1	P04
D_R12_2	X12	Landrace	D	Root	2	P04
D_R12_3	X12	Landrace	D	Root	3	P04
D_R120_1	X120	Teosinte	D	Root	1	P10
D_R120_2	X120	Teosinte	D	Root	2	P10
D_R120_3	X120	Teosinte	D	Root	3	P10
D_R121_1	X121	Teosinte	D	Root	1	P04
D_R121_2	X121	Teosinte	D	Root	2	P04
D_R121_3	X121	Teosinte	D	Root	3	P04
D_R122_1	X122	Teosinte	D	Root	1	P10
D_R122_2	X122	Teosinte	D	Root	2	P10
D_R122_3	X122	Teosinte	D	Root	3	P10
D_R123_1	X123	Teosinte	D	Root	1	P15
D_R123_2	X123	Teosinte	D	Root	2	P15
D_R123_3	X123	Teosinte	D	Root	3	P15
D_R124_1	X124	Teosinte	D	Root	1	P01
D_R124_2	X124	Teosinte	D	Root	2	P01
D_R124_3	X124	Teosinte	D	Root	3	P01
D_R125_1	X125	Teosinte	D	Root	1	P01
D_R125_2	X125	Teosinte	D	Root	2	P01
D_R125_3	X125	Teosinte	D	Root	3	P01
D_R126_1	X126	Teosinte	D	Root	1	P15
D_R126_2	X126	Teosinte	D	Root	2	P15
D_R126_3	X126	Teosinte	D	Root	3	P15
D_R127_1	X127	Teosinte	D	Root	1	P04
D_R127_2	X127	Teosinte	D	Root	2	P04
D_R127_3	X127	Teosinte	D	Root	3	P04
D_R128_1	X128	Teosinte	D	Root	1	P10
D_R128_2	X128	Teosinte	D	Root	2	P10
D_R128_3	X128	Teosinte	D	Root	3	P10
D_R129_1	X129	Teosinte	D	Root	1	P10
D_R129_2	X129	Teosinte	D	Root	2	P10
D_R129_3	X129	Teosinte	D	Root	3	P10
D_R13_1	X13	Landrace	D	Root	1	P15
D_R13_2	X13	Landrace	D	Root	2	P15
D_R13_3	X13	Landrace	D	Root	3	P15
D_R14_1	X14	Landrace	D	Root	1	P04
D_R14_2	X14	Landrace	D	Root	2	P04
D_R14_3	X14	Landrace	D	Root	3	P04
D_R15_1	X15	Landrace	D	Root	1	P01
